t                        b_rel
1.128000000000000000e+04 2.931893444626299566e-08
1.152000000000000000e+04 2.914964834988244030e-08
1.176000000000000000e+04 2.909417645315864193e-08
1.200000000000000000e+04 2.907592834306512082e-08
1.224000000000000000e+04 2.906966002536643553e-08
1.248000000000000000e+04 2.906669316762664854e-08
1.272000000000000000e+04 2.906291807927123000e-08
1.296000000000000000e+04 2.905310520980846214e-08
1.320000000000000000e+04 2.902365983917907200e-08
1.344000000000000000e+04 2.893375174707502880e-08
1.368000000000000000e+04 2.865832883983718028e-08
1.392000000000000000e+04 2.781057309571279031e-08
1.416000000000000000e+04 2.516081216626174048e-08
1.440000000000000000e+04 1.634982111102193190e-08
1.464000000000000000e+04 1.464138165849628502e-08
1.488000000000000000e+04 1.432169552418880889e-08
1.512000000000000000e+04 1.426245113647939173e-08
1.536000000000000000e+04 1.425149320033760194e-08
1.560000000000000000e+04 1.424946728997793510e-08
1.584000000000000000e+04 1.424909202859218968e-08
1.608000000000000000e+04 1.424901693127937115e-08
1.632000000000000000e+04 1.424897014952980108e-08
1.656000000000000000e+04 1.424878158688895297e-08
1.680000000000000000e+04 1.424777163474381374e-08
1.704000000000000000e+04 1.424230873585787776e-08
1.728000000000000000e+04 1.421275308240781257e-08
1.752000000000000000e+04 1.405270262331582562e-08
1.776000000000000000e+04 1.318128408857094170e-08
1.800000000000000000e+04 8.268584499081757748e-09
1.824000000000000000e+04 7.688662077381325225e-09
1.848000000000000000e+04 7.621735475505241910e-09
1.872000000000000000e+04 7.614056692696209691e-09
1.896000000000000000e+04 7.613347382291173137e-09
1.920000000000000000e+04 7.614772557847257481e-09
1.944000000000000000e+04 7.628032105221414683e-09
1.968000000000000000e+04 7.743336673082606544e-09
1.992000000000000000e+04 7.774748608050491706e-09
2.016000000000000000e+04 7.781914757778366346e-09
2.040000000000000000e+04 7.777476689145605816e-09
2.064000000000000000e+04 7.768965238198726325e-09
2.088000000000000000e+04 7.809086255912332169e-09
2.112000000000000000e+04 8.347837492600157240e-09
2.136000000000000000e+04 1.314945813836626596e-08
2.160000000000000000e+04 5.812677816280236985e-08
2.184000000000000000e+04 7.980857140061671528e-08
2.208000000000000000e+04 9.348999283151029705e-08
2.232000000000000000e+04 1.029631889615146255e-07
2.256000000000000000e+04 1.099408061595322790e-07
2.280000000000000000e+04 1.154727795029784709e-07
2.304000000000000000e+04 1.203855704573330783e-07
2.328000000000000000e+04 1.254870635069184685e-07
2.352000000000000000e+04 1.317030426069872693e-07
2.376000000000000000e+04 1.402075017501419571e-07
2.400000000000000000e+04 1.526048438509998890e-07
2.424000000000000000e+04 1.713005722737871368e-07
2.448000000000000000e+04 2.005178071994338915e-07
2.472000000000000000e+04 2.499858770490773038e-07
2.496000000000000000e+04 3.572857677575329470e-07
2.520000000000000000e+04 2.063613345865908388e-01
2.544000000000000000e+04 2.063614568208690103e-01
2.568000000000000000e+04 2.063615104720921689e-01
2.592000000000000000e+04 2.063615400689409740e-01
2.616000000000000000e+04 2.063615569232139235e-01
2.640000000000000000e+04 2.063615660721067890e-01
2.664000000000000000e+04 2.063615709426095957e-01
2.688000000000000000e+04 2.063615747616593110e-01
2.712000000000000000e+04 2.063615810657289940e-01
2.736000000000000000e+04 2.063615941439636836e-01
2.760000000000000000e+04 2.063616208814176012e-01
2.784000000000000000e+04 2.063616809781875505e-01
2.808000000000000000e+04 2.063617772714702869e-01
